3117,5149,5236,3044,5585,5881
3986,3990,5952,1665,20,2791
6300,4083,514,4508,195,6463
145,4203,358,3550,6024,5964
5149,5123,250,1493,5952,3044
20,6459,3624,6621,6463,3990
4458,2791,229,3117,195,3550
1665,5943,4508,5881,6300,6024
3986,6484,5236,514,358,5964
5240,4083,4203,333,5585,145
1665,6463,5881,5943,1493,3624
5236,3044,195,250,6024,6484
5123,4083,6621,514,3986,5149
5952,5964,145,5240,3117,229
2791,6300,5585,333,3550,3990
4508,358,20,4203,4458,6459
1493,1665,195,5123,5236,5964
5585,250,5943,3624,3550,3986
3990,2791,5240,4508,514,229
6621,5952,6459,6484,4203,5149
145,6024,3044,358,333,6463
5881,20,4083,6300,4458,3117
